date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:02:19	50217/50217	---M--	200	added ('OK')	application/javascript	etag:W/%22c429-169be6705da%22	https://hyper360.api.eng.it/resource/view/360/lib/js/LoaderSupport.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/LoaderSupport.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:20	19256/19256	---M--	200	added ('OK')	application/javascript	etag:W/%224b38-169be6705da%22	https://hyper360.api.eng.it/resource/view/360/lib/js/OBJLoader.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/OBJLoader.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:21	11814/11814	---M--	200	added ('OK')	application/javascript	etag:W/%222e26-169be6705da%22	https://hyper360.api.eng.it/resource/view/360/lib/js/MTLLoader.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/MTLLoader.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:22	79502/79502	---M--	200	added ('OK')	application/javascript	etag:W/%221368e-169be6705da%22	https://hyper360.api.eng.it/resource/view/360/lib/js/ColladaLoader.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/ColladaLoader.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:23	72202/72202	---M--	200	added ('OK')	application/javascript	etag:W/%2211a0a-169be6705fb%22	https://hyper360.api.eng.it/resource/view/360/lib/js/socket.io.min.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/socket.io.min.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:24	16307/16307	---M--	200	added ('OK')	application/javascript	etag:W/%223fb3-169be6705fe%22	https://hyper360.api.eng.it/resource/view/360/lib/js/threex.domevents.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/threex.domevents.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:25	50167/50167	---M--	200	added ('OK')	application/javascript	etag:W/%22c3f7-169be6705da%22	https://hyper360.api.eng.it/resource/view/360/lib/js/dat.gui.min.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/dat.gui.min.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:26	1862/1862	---M--	200	added ('OK')	application/javascript	etag:W/%22746-17106ca47cc%22	https://hyper360.api.eng.it/resource/view/360/lib/js/threex.chromakey.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/threex.chromakey.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:27	2342/2342	---M--	200	added ('OK')	application/javascript	etag:W/%22926-16db06ae0c2%22	https://hyper360.api.eng.it/resource/view/360/lib/js/long-press-event/long-press-event.min.js	/Users/zz/Desktop/websites/Test_360/hyper360.api.eng.it/resource/view/360/lib/js/long-press-event/long-press-event.min.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
19:02:29	268039/268039	---M-Z	200	added ('OK')	application/javascript	etag:W/%2258d026fb-41707%22	https://code.jquery.com/jquery-3.2.1.js	/Users/zz/Desktop/websites/Test_360/code.jquery.com/jquery-3.2.1.js	(from https://hyper360.api.eng.it/H360/use?processId=version%202&resourceName=13.VIDEO_6.2.1_%20BAR%20EMPTY&controls=true&postmsg=false&autoplay=true&group=RTI_HYPER360ASSESS&id=5ecbbc3ca3d4ae53497ecc67&recommendation=true&recomCheck=true&compassStatus=false&uploaded=YES)
